Evaluation,Model,Parameter,Accuracy
1,ANN,"model=2, neuron1=100, layers=3, use_transfer_learning=True, neuron2=100, learning_rate=clr, use_svm=False",0.6209677402530946
1,ANN,"learning_rate=decrease, model=2, neuron1=100, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, neuron1=100, use_transfer_learning=True, layers=6, neuron2=100, use_svm=False",0.6451612771038086
1,ANN,"model=2, neuron1=100, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, learning_rate=clr",0.6733871054264807
1,ANN,"model=2, neuron1=100, use_transfer_learning=True, layers=6, neuron2=100, learning_rate=clr, use_svm=False",0.6774193497915422
1,ANN,"learning_rate=decrease, model=2, neuron1=100, use_transfer_learning=True, use_svm=True, neuron2=100, layers=8",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, neuron1=100, use_transfer_learning=True, use_svm=False, neuron2=100, layers=8",0.6451612771038086
1,ANN,"model=2, neuron1=100, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, layers=8",0.7016129101957044
1,ANN,"model=2, neuron1=100, use_transfer_learning=True, use_svm=False, neuron2=100, learning_rate=clr, layers=8",0.616935484111309
1,ANN,"learning_rate=decrease, model=2, neuron1=100, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, neuron1=100, layers=3, use_transfer_learning=True, neuron2=200, use_svm=False",0.6451612771038086
1,ANN,"model=2, neuron1=100, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr",0.641129020962023
1,ANN,"model=2, neuron1=100, layers=3, use_transfer_learning=True, neuron2=200, learning_rate=clr, use_svm=False",0.6854838738518377
1,ANN,"learning_rate=decrease, model=2, neuron1=100, use_transfer_learning=True, use_svm=True, layers=6, neuron2=200",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, neuron1=100, use_transfer_learning=True, layers=6, neuron2=200, use_svm=False",0.6451612771038086
1,ANN,"model=2, neuron1=100, use_transfer_learning=True, use_svm=True, layers=6, neuron2=200, learning_rate=clr",0.5645161307146471
1,ANN,"model=2, neuron1=100, use_transfer_learning=True, layers=6, neuron2=200, learning_rate=clr, use_svm=False",0.6330645086784517
1,ANN,"learning_rate=decrease, model=2, neuron1=100, use_transfer_learning=True, use_svm=True, neuron2=200, layers=8",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, neuron1=100, use_transfer_learning=True, use_svm=False, neuron2=200, layers=8",0.6451612771038086
1,ANN,"model=2, neuron1=100, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr, layers=8",0.641129026850385
1,ANN,"model=2, neuron1=100, use_transfer_learning=True, use_svm=False, neuron2=200, learning_rate=clr, layers=8",0.6169354958880332
1,ANN,"learning_rate=decrease, model=2, neuron1=128, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, neuron1=128, layers=3, use_transfer_learning=True, neuron2=100, use_svm=False",0.6451612771038086
1,ANN,"model=2, neuron1=128, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr",0.5725806429982185
1,ANN,"model=2, neuron1=128, layers=3, use_transfer_learning=True, neuron2=100, learning_rate=clr, use_svm=False",0.6290322525366661
1,ANN,"learning_rate=decrease, model=2, neuron1=128, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, neuron1=128, use_transfer_learning=True, layers=6, neuron2=100, use_svm=False",0.6451612771038086
1,ANN,"model=2, neuron1=128, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, learning_rate=clr",0.6895161182168992
1,ANN,"model=2, neuron1=128, use_transfer_learning=True, layers=6, neuron2=100, learning_rate=clr, use_svm=False",0.580645172946876
1,ANN,"learning_rate=decrease, model=2, neuron1=128, use_transfer_learning=True, use_svm=True, neuron2=100, layers=8",0.6451612771038086
